Lapislapis,https://www.google.co.id/maps/place/Lapislapis/,https://lh5.googleusercontent.com/p/AF1QipMOIzljfuZJTCOAH_UMp4CZMfDGhH_nd2WpmCa8=w408-h723-k-no,Cake shop,"Mal Kelapa Gading, Jl. Bulevar Kelapa Gading Blok M, Kelapa Gading Timur, Kelapa Gading, RT.13/RW.18, Klp. Gading Tim., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",Open now:  10am–10pm,lapislapis.co.id,+62 21 45846532
Double Cola,https://www.google.co.id/maps/place/Double+Cola/,https://lh5.googleusercontent.com/p/AF1QipMMJdSCo9XYpesffMWSq2BFRVFUjSIsZsOPciwK=w426-h240-k-no,Cake shop,"Jl. Sinar Budi No.12, RT.2/RW.4, Pejagalan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",double-cola.business.site,+62 21 66690172,"VQ4V+X4 Pejagalan, North Jakarta City, Jakarta, Indonesia"
"F2-Cake, Bakul Kue Rumahan","https://www.google.co.id/maps/place/F2-Cake,+Bakul+Kue+Rumahan/",https://lh5.googleusercontent.com/p/AF1QipO0H2ddriTAHYYduONPcW1fbZt93OCBpN6OJN6u=w408-h245-k-no,Cake shop,"Jl. Bahari II No.176, RW.5, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14310, Indonesia",f2cake.blogspot.com,+62 812-8045-8855,"VVJC+FQ Tanjung Priok, North Jakarta City, Jakarta, Indonesia"
Lapislapis,https://www.google.co.id/maps/place/Lapislapis/,https://lh5.googleusercontent.com/p/AF1QipPtym6w_xN67vun4rzYwXk4BOPujmbbrw-EXCiD=w462-h240-k-no,Cafeteria,"Jl. Danau Agung 2 No.21, RT.13/RW.11, Sunter Agung, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia",lapislapis.co.id,+62 21 65832072,"VV48+75 Sunter Agung, North Jakarta City, Jakarta, Indonesia"
MADAM LIU KUE LAPIS IJO,https://www.google.co.id/maps/place/MADAM+LIU+KUE+LAPIS+IJO/,https://lh5.googleusercontent.com/p/AF1QipPGEuYgYBiGOau1iLtiFpxDteD1fn1IAA6dkYaY=w408-h306-k-no,Cake shop,"Jl. Karang Anyar B No.4, RT.9/RW.3, Karang Anyar, Sawah Besar, Central Jakarta City, Jakarta 10740, Indonesia",+62 812-8568-5444,"RRVH+PW Karang Anyar, Central Jakarta City, Jakarta, Indonesia",Claim this business
Rotihui home bakery,https://www.google.co.id/maps/place/Rotihui+home+bakery/,https://lh5.googleusercontent.com/p/AF1QipPuuQnSDrKF2cbHFT5Fa7FGhqKE7MnrujS6Mncz=w408-h513-k-no,Bakery,"jl.agung barat 28 blok b33 no.2 sunter jakarta utara, RT.5/RW.10, Sunter Agung, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia",bit.ly,+62 21 64710770,"VV56+RM Sunter Agung, North Jakarta City, Jakarta, Indonesia"
Spikoe Batavia,https://www.google.co.id/maps/place/Spikoe+Batavia/,https://lh5.googleusercontent.com/p/AF1QipPLGDTwkPBL3lJydTZgnbUSce6ar8wYpmKULNqM=w415-h240-k-no,Cake shop,"Jalan Bulevar Kelapa Gading Blok WE 2 no. 4 A, RW.16, Kelapa Gading Timur, Kelapa Gading, RT.13/RW.16, Klp. Gading Tim., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",+62 817-111-918,"RWQ3+MJ East Kelapa Gading, North Jakarta City, Jakarta, Indonesia",Reviews
Wilmas Bakery & Cake,https://www.google.co.id/maps/place/Wilmas+Bakery+%26+Cake/,https://lh5.googleusercontent.com/p/AF1QipPPkgi1h7A3Qbfyg_l0vp6zSog48nGCg6UZXcYF=w408-h306-k-no,Cake shop,"Jalan Sumur Batu No. 29, RT 04 / RW 08, Cempaka Baru, Kemayoran, RT.2/RW.1, Cempaka Baru, RT.4/RW.8, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",+62 21 4224980,"RVP7+59 Cempaka Baru, Central Jakarta City, Jakarta, Indonesia",Claim this business
AJ Bakery & Cake,https://www.google.co.id/maps/place/AJ+Bakery+%26+Cake/,https://lh5.googleusercontent.com/p/AF1QipPDyzH84l3Buxo_Sb7qJf1auIYXnm5gjGA0UvGD=w408-h609-k-no,Bakery,"Jl. Boulevard Raya Blok DF II No.9-10, RT.4/RW.17, Klp. Gading Tim., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",ajbakery.com,+62 21 4528467,"RVHX+27 East Kelapa Gading, North Jakarta City, Jakarta, Indonesia"
Kue Pepe Sari Rasa Ny Ang,https://www.google.co.id/maps/place/Kue+Pepe+Sari+Rasa+Ny+Ang/,https://lh5.googleusercontent.com/p/AF1QipP5C5raL5eljGSuSGoGl3BTz3X7qBMq_ErZQ61t=w408-h544-k-no,Cake shop,"Jl. Tambora Raya No.68A, RT.7/RW.4, Tambora, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220, Indonesia","VR35+J9 Tambora, West Jakarta City, Jakarta, Indonesia",Reviews,"Ms. Ang's Cake Shop
No reviews
Cake shop"
